Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2;Ouest-Sud;107000.0;75;9.0;1.0;11889
9;Ouest-Sud;90000.0;75;15.0;1.0;6000
2;Ouest-Sud;209000.0;75;16.0;1.0;13062
2;Ouest-Sud;570000.0;75;36.0;1.0;15833
7;Ouest-Sud;358050.0;75;40.0;1.0;8951
7;Ouest-Sud;120000.0;75;13.0;1.0;9231
7;Ouest-Sud;180000.0;75;22.0;1.0;8182
5;Ouest-Sud;230000.0;75;23.0;1.0;10000
5;Ouest-Sud;149000.0;75;13.0;1.0;11462
5;Ouest-Sud;841463.0;75;29.0;1.0;29016
5;Ouest-Sud;312500.0;75;35.0;1.0;8929
6;Ouest-Sud;183000.0;75;15.0;1.0;12200
5;Ouest-Sud;287000.0;75;29.0;1.0;9897
7;Ouest-Sud;337500.0;75;30.0;1.0;11250
7;Ouest-Sud;488000.0;75;42.0;1.0;11619
6;Ouest-Sud;321000.0;75;29.0;1.0;11069
7;Ouest-Sud;100000.0;75;12.0;1.0;8333
7;Ouest-Sud;1000000.0;75;25.0;1.0;40000
4;Ouest-Sud;315000.0;75;28.0;1.0;11250
7;Ouest-Sud;400000.0;75;34.0;1.0;11765
7;Ouest-Sud;150000.0;75;10.0;1.0;15000
7;Ouest-Sud;205000.0;75;17.0;1.0;12059
7;Ouest-Sud;80000.0;75;8.0;1.0;10000
7;Ouest-Sud;100000.0;75;14.0;1.0;7143
7;Ouest-Sud;580000.0;75;11.0;1.0;52727
6;Ouest-Sud;105000.0;75;12.0;1.0;8750
7;Ouest-Sud;284126.0;75;22.0;1.0;12915
5;Ouest-Sud;120000.0;75;11.0;1.0;10909
5;Ouest-Sud;190000.0;75;21.0;1.0;9048
7;Ouest-Sud;500000.0;75;42.0;1.0;11905
5;Ouest-Sud;133650.0;75;18.0;1.0;7425
7;Ouest-Sud;200000.0;75;17.0;1.0;11765
5;Ouest-Sud;296000.0;75;27.0;1.0;10963
6;Ouest-Sud;690000.0;75;38.0;1.0;18158
5;Ouest-Sud;384000.0;75;34.0;1.0;11294
7;Ouest-Sud;300000.0;75;24.0;1.0;12500
7;Ouest-Sud;995000.0;75;25.0;1.0;39800
7;Ouest-Sud;548000.0;75;19.0;1.0;28842
7;Ouest-Sud;548000.0;75;10.0;1.0;54800
6;Ouest-Sud;210000.0;75;13.0;1.0;16154
5;Ouest-Sud;1507000.0;75;40.0;1.0;37675
7;Ouest-Sud;265000.0;75;8.0;1.0;33125
7;Ouest-Sud;265000.0;75;22.0;1.0;12045
6;Ouest-Sud;393000.0;75;30.0;1.0;13100
7;Ouest-Sud;145000.0;75;9.0;1.0;16111
6;Ouest-Sud;1110000.0;75;37.0;1.0;30000
5;Ouest-Sud;220000.0;75;20.0;1.0;11000
5;Ouest-Sud;446150.0;75;42.0;1.0;10623
6;Ouest-Sud;257000.0;75;16.0;1.0;16062
5;Ouest-Sud;248450.0;75;18.0;1.0;13803
7;Ouest-Sud;303000.0;75;13.0;1.0;23308
7;Ouest-Sud;303000.0;75;10.0;1.0;30300
7;Ouest-Sud;1100000.0;75;25.0;1.0;44000
5;Ouest-Sud;418400.0;75;34.0;1.0;12306
5;Ouest-Sud;195000.0;75;17.0;1.0;11471
5;Ouest-Sud;168000.0;75;13.0;1.0;12923
4;Ouest-Sud;325100.0;75;28.0;1.0;11611
7;Ouest-Sud;158270.0;75;8.0;1.0;19784
5;Ouest-Sud;354000.0;75;26.0;1.0;13615
5;Ouest-Sud;230000.0;75;17.0;1.0;13529
7;Ouest-Sud;316000.0;75;34.0;1.0;9294
7;Ouest-Sud;840000.0;75;34.0;1.0;24706
5;Ouest-Sud;248220.0;75;23.0;1.0;10792
6;Ouest-Sud;65000.0;75;8.0;1.0;8125
7;Ouest-Sud;125000.0;75;20.0;1.0;6250
7;Ouest-Sud;44000.0;75;8.0;1.0;5500
7;Ouest-Sud;290000.0;75;28.0;1.0;10357
7;Ouest-Sud;340000.0;75;20.0;1.0;17000
7;Ouest-Sud;350000.0;75;29.0;1.0;12069
7;Ouest-Sud;223290.0;75;19.0;1.0;11752
7;Ouest-Sud;340000.0;75;33.0;1.0;10303
7;Ouest-Sud;275000.0;75;32.0;1.0;8594
7;Ouest-Sud;182900.0;75;16.0;1.0;11431
4;Ouest-Sud;440000.0;75;35.0;1.0;12571
5;Ouest-Sud;220000.0;75;22.0;1.0;10000
7;Ouest-Sud;303000.0;75;10.0;1.0;30300
7;Ouest-Sud;247850.0;75;24.0;1.0;10327
6;Ouest-Sud;136000.0;75;13.0;1.0;10462
5;Ouest-Sud;202270.0;75;22.0;1.0;9194
4;Ouest-Sud;200000.0;75;20.0;1.0;10000
7;Ouest-Sud;670000.0;75;49.0;1.0;13673
7;Ouest-Sud;560000.0;75;53.0;1.0;10566
